url,first_image_url,highlights,location,table_data,error
https://housing.com/rent/17092763-1425-sqft-3-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,https://housing-images.n7net.in/01c16c28/81df4b31389249718192dabba56159a7/v0/large/3_bhk_apartment-for-rent-vrindavan_yojna-Lucknow-living_room.jpg,"[""24x7 Security"", ""Business Center"", ""Close to Airport"", ""Close to Grocery Stores""]","Azeagaia Azea Botanica, Vrindavan Yojana, Lucknow","{""Project Name"": ""Azeagaia Azea Botanica"", ""Security"": ""22,000"", ""Brokerage"": ""11,000Access Zero Brokerage Properties"", ""Maintenance"": ""4,000"", ""Built up area"": ""1425 sq.ft"", ""Furnishing"": ""Semi Furnished"", ""Bathrooms"": ""2"", ""Balcony"": ""3"", ""Available from"": ""Available now"", ""Floor number"": ""10 of 15 floors"", ""Lease type"": ""Family / Bachelor / Company"", ""Age of property"": ""5 years"", ""Main entrance facing"": ""North"", ""Gas Pipeline"": ""No"", ""Gate Community"": ""Yes"", ""Carpet area"": ""1400 sq.ft"", ""Price Negotiable"": ""No""}",
https://housing.com/rent/16675056-1573-sqft-3-bhk-apartment-on-rent-in-baraulikhalilabad-lucknow,https://housing-images.n7net.in/01c16c28/435255a5db45a10637a54e7fca0d3e3d/v0/large/3_bhk_apartment-for-rent-baraulikhalilabad-Lucknow-hall.jpg,"[""24x7 Security"", ""Children Play Area"", ""Close to Bus Stop"", ""Close to Grocery Stores""]","Euphoria, Baraulikhalilabad, Lucknow","{""Project Name"": ""Euphoria"", ""Security"": ""17,000"", ""Brokerage"": ""8,500Access Zero Brokerage Properties"", ""Maintenance"": ""3,000"", ""Built up area"": ""1573 sq.ft"", ""Furnishing"": ""Semi Furnished"", ""Bathrooms"": ""3"", ""Balcony"": ""2"", ""Available from"": ""Available now"", ""Floor number"": ""4 of 11 floors"", ""Lease type"": ""Family / Bachelor / Company"", ""Age of property"": ""6 years"", ""Main entrance facing"": ""South-West"", ""Gas Pipeline"": ""No"", ""Gate Community"": ""Yes"", ""Price Negotiable"": ""No""}",
https://housing.com/rent/17139393-1375-sqft-3-bhk-apartment-on-rent-in-gomti-nagar-extension-lucknow,https://housing-images.n7net.in/01c16c28/120669566b4f54d1302dfcf7564ab90f/v0/large/3_bhk_apartment-for-rent-gomti_nagar_extension_1-Lucknow-hall.jpg,"[""Aerobics Room"", ""Basketball Court"", ""Badminton Court"", ""Children Play Area""]","Rishita Manhattan, Gomti Nagar Extension, Lucknow","{""Project Name"": ""Rishita Manhattan"", ""Security"": ""21,000"", ""Brokerage"": ""No ChargeAccess Zero Brokerage Properties"", ""Maintenance"": ""3,200"", ""Built up area"": ""1375 sq.ft"", ""Furnishing"": ""Semi Furnished"", ""Bathrooms"": ""2"", ""Balcony"": ""2"", ""Available from"": ""Available now"", ""Floor number"": ""11 of 22 floors"", ""Lease type"": ""Family / Company"", ""Age of property"": ""2 years"", ""Main entrance facing"": ""North-East"", ""Gas Pipeline"": ""No"", ""Gate Community"": ""No"", ""Carpet area"": ""1053 sq.ft"", ""Price Negotiable"": ""No""}",
https://housing.com/rent/17110305-1200-sqft-2-bhk-independent-house-on-rent-in-haibat-mau-mawaiya-lucknow,https://housing-images.n7net.in/4f2250e8/3937471e421c06efdcb961d42e6eceb9/v0/large.jpeg,"[""Utility Shops"", ""Close to Hospital"", ""Close to Mall"", ""Modular Switches""]","Yamunapuram Villas, Haibat Mau Mawaiya, Lucknow","{""Project Name"": ""Yamunapuram Villas"", ""Security"": ""10,000"", ""Brokerage"": ""5,000(Negotiable)Access Zero Brokerage Properties"", ""Built up area"": ""1200 sq.ft"", ""Furnishing"": ""Semi Furnished"", ""Bathrooms"": ""3"", ""Balcony"": ""1"", ""Available from"": ""Available now"", ""Lease type"": ""Family / Bachelor / Company"", ""Age of property"": ""2 years"", ""Main entrance facing"": ""West"", ""Gas Pipeline"": ""No"", ""Gate Community"": ""No"", ""Carpet area"": ""1000 sq.ft"", ""Price Negotiable"": ""No""}",
https://housing.com/rent/16730990-800-sqft-1-bhk-independent-house-on-rent-in-haibat-mau-mawaiya-lucknow,https://housing-images.n7net.in/01c16c28/4096070890535207c317c984da95bde1/v0/large/1_bhk_independent_house-for-rent-haibat_mau_mawaiya-Lucknow-hall.jpg,"[""Anti Skid Titles"", ""Amphitheatre"", ""Aerobics Room"", ""24x7 Security""]","Haibat Mau Mawaiya, Lucknow","{""Security"": ""9,000"", ""Brokerage"": ""No ChargeAccess Zero Brokerage Properties"", ""Built up area"": ""800 sq.ft"", ""Furnishing"": ""Semi Furnished"", ""Bathrooms"": ""1"", ""Balcony"": ""1"", ""Available from"": ""Available now"", ""Lease type"": ""Family"", ""Age of property"": ""2 years"", ""Main entrance facing"": ""South"", ""Gas Pipeline"": ""No"", ""Gate Community"": ""No"", ""Carpet area"": ""675 sq.ft"", ""Price Negotiable"": ""No""}",
https://housing.com/rent/16494157-1800-sqft-3-bhk-apartment-on-rent-in-sector-a-lucknow,https://housing-images.n7net.in/01c16c28/282951d760e100ab7a4352b93762474a/v0/large/3_bhk_apartment-for-rent-sector_a_uttar_pradesh-Lucknow-hall.jpg,"[""24x7 Security"", ""Badminton Court"", ""Close to Grocery Stores"", ""Close to Hospital""]","Ansal Celebrity Garden, Muzaffar Nagar Ghusval, Sector A, Lucknow","{""Project Name"": ""Ansal Celebrity Garden"", ""Security"": ""70,000"", ""Brokerage"": ""17,500(Negotiable)Access Zero Brokerage Properties"", ""Built up area"": ""1800 sq.ft"", ""Furnishing"": ""Fully Furnished"", ""Bathrooms"": ""3"", ""Balcony"": ""3"", ""Available from"": ""Available now"", ""Floor number"": ""9 of 14 floors"", ""Lease type"": ""Bachelor"", ""Age of property"": ""6 years"", ""Gas Pipeline"": ""No"", ""Gate Community"": ""No"", ""Carpet area"": ""1650 sq.ft"", ""Price Negotiable"": ""No""}",
https://housing.com/rent/17158891-1600-sqft-3-bhk-apartment-on-rent-in-krishna-nagar-lucknow,https://housing-images.n7net.in/01c16c28/0f98f3f2abbdcc1320f68341347a94a6/v0/large/3_bhk_apartment-for-rent-krishna_nagar_alambagh-Lucknow-hall.jpg,"[""24 Hours Concierge"", ""Aerobics Room"", ""24x7 Security"", ""Children Play Area""]","The krishna nagar, Krishna Nagar, Lucknow","{""Security"": ""18,000"", ""Brokerage"": ""9,000Access Zero Brokerage Properties"", ""Built up area"": ""1600 sq.ft"", ""Furnishing"": ""Semi Furnished"", ""Bathrooms"": ""3"", ""Balcony"": ""3"", ""Available from"": ""Available now"", ""Floor number"": ""3 of 8 floors"", ""Lease type"": ""Family / Bachelor / Company"", ""Age of property"": ""10 years"", ""Main entrance facing"": ""East"", ""Gas Pipeline"": ""No"", ""Gate Community"": ""Yes"", ""Price Negotiable"": ""No""}",
https://housing.com/rent/16779272-1100-sqft-2-bhk-apartment-on-rent-in-kalyanpur-(east)-lucknow,https://housing-images.n7net.in/01c16c28/3bac7ed8d1816959ff8539dce85e2e65/v0/large/2_bhk_apartment-for-rent-kalyanpur_east-Lucknow-hall.jpg,"[""24x7 Security"", ""24 Hours Concierge"", ""Amphitheatre"", ""Anti Skid Titles""]","Kalyanpur, Kalyanpur (East), Lucknow","{""Security"": ""12,000"", ""Brokerage"": ""6,000Access Zero Brokerage Properties"", ""Built up area"": ""1100 sq.ft"", ""Furnishing"": ""Semi Furnished"", ""Bathrooms"": ""2"", ""Balcony"": ""2"", ""Available from"": ""Available now"", ""Floor number"": ""2 of 3 floors"", ""Lease type"": ""Family / Bachelor / Company"", ""Age of property"": ""5 years"", ""Main entrance facing"": ""West"", ""Gas Pipeline"": ""No"", ""Gate Community"": ""Yes"", ""Carpet area"": ""1050 sq.ft"", ""Price Negotiable"": ""No""}",
https://housing.com/rent/17186719-1400-sqft-1-rk-independent-house-on-rent-in-transport-nagar-lucknow,https://housing-images.n7net.in/01c16c28/4fca364938b2ab04524edcfb76629858/v0/large/1_rk_independent_house-for-rent-transport_nagar_lucknow-Lucknow-hall.jpg,[],"Transport Nagar, Lucknow","{""Security"": ""5,000"", ""Brokerage"": ""No ChargeAccess Zero Brokerage Properties"", ""Built up area"": ""1400 sq.ft"", ""Furnishing"": ""Semi Furnished"", ""Bathrooms"": ""1"", ""Balcony"": ""-"", ""Available from"": ""Available now"", ""Age of property"": ""null year"", ""Main entrance facing"": ""East"", ""Gas Pipeline"": ""No"", ""Gate Community"": ""No"", ""Price Negotiable"": ""No""}",
https://housing.com/rent/17185487-1450-sqft-2-bhk-independent-house-on-rent-in-vrindavan-yojna-lucknow,https://housing-images.n7net.in/01c16c28/2cda180f739e5aacecd79724ec503e54/v0/large/2_bhk_independent_house-for-rent-vrindavan_yojna-Lucknow-hall.jpg,[],"Sector 14, Vrindavan Yojana, Lucknow","{""Security"": ""15,000"", ""Brokerage"": ""No ChargeAccess Zero Brokerage Properties"", ""Built up area"": ""1450 sq.ft"", ""Furnishing"": ""Semi Furnished"", ""Bathrooms"": ""2"", ""Balcony"": ""2"", ""Available from"": ""Available now"", ""Lease type"": ""Family"", ""Age of property"": ""0 year"", ""Main entrance facing"": ""West"", ""Gas Pipeline"": ""No"", ""Gate Community"": ""No"", ""Carpet area"": ""1000 sq.ft"", ""Price Negotiable"": ""No""}",
https://housing.com/rent/17190422-1250-sqft-2-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,https://housing-images.n7net.in/01c16c28/1a418b02dd524b498fd8e491fd7f7617/v0/large/2_bhk_independent_builder_floor-for-rent-gomti_nagar_1-Lucknow-living_room.jpg,[],"LDA Parijat Apartment, Vikrant Khand, Gomti Nagar, Lucknow","{""Project Name"": ""LDA Parijat Apartment"", ""Security"": ""15,500"", ""Brokerage"": ""7,750(Negotiable)Access Zero Brokerage Properties"", ""Built up area"": ""1250 sq.ft"", ""Furnishing"": ""Semi Furnished"", ""Bathrooms"": ""2"", ""Balcony"": ""1"", ""Available from"": ""Available now"", ""Floor number"": ""1 of 3 floors"", ""Lease type"": ""Family / Company"", ""Age of property"": ""2 years"", ""Gas Pipeline"": ""No"", ""Gate Community"": ""No"", ""Carpet area"": ""1200 sq.ft"", ""Price Negotiable"": ""No""}",
https://housing.com/rent/16161225-1750-sqft-3-bhk-apartment-on-rent-in-ashiyana-lucknow,https://housing-images.n7net.in/01c16c28/142c43941a109b726018441329f44e3b/v0/large/3_bhk_apartment-for-rent-ashiyana-Lucknow-hall.jpg,[],"Ansal Orchid Greens Apartment, Sector N, Ashiyana, Lucknow","{""Project Name"": ""Ansal Orchid Greens Apartment"", ""Security"": ""20,000"", ""Brokerage"": ""10,000Access Zero Brokerage Properties"", ""Built up area"": ""1750 sq.ft"", ""Furnishing"": ""Semi Furnished"", ""Bathrooms"": ""2"", ""Balcony"": ""2"", ""Available from"": ""Available now"", ""Floor number"": ""1 of 6 floors"", ""Lease type"": ""Family"", ""Age of property"": ""10 years"", ""Gas Pipeline"": ""No"", ""Gate Community"": ""No"", ""Price Negotiable"": ""No""}",
https://housing.com/rent/16559239-2060-sqft-4-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,https://housing-images.n7net.in/01c16c28/53eb2dc1188c9fc8650e2625a63b7083/v0/large/4_bhk_apartment-for-rent-vrindavan_yojna-Lucknow-hall.jpg,[],"Azeagaia Azea Botanica, Vrindavan Yojana, Lucknow","{""Project Name"": ""Azeagaia Azea Botanica"", ""Security"": ""42,000"", ""Brokerage"": ""21,000Access Zero Brokerage Properties"", ""Built up area"": ""2060 sq.ft"", ""Furnishing"": ""Semi Furnished"", ""Bathrooms"": ""4"", ""Balcony"": ""3"", ""Available from"": ""Available now"", ""Floor number"": ""12 of 15 floors"", ""Age of property"": ""5 years"", ""Main entrance facing"": ""West"", ""Gas Pipeline"": ""No"", ""Gate Community"": ""No"", ""Carpet area"": ""2055 sq.ft"", ""Price Negotiable"": ""No""}",
https://housing.com/rent/17124939-1100-sqft-1-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,https://housing-images.n7net.in/01c16c28/8fc684e051189946da73b3672393d3a6/v0/large/1_bhk_independent_builder_floor-for-rent-gomti_nagar_1-Lucknow-hall.jpg,[],"Gomti Nagar, Lucknow","{""Security"": ""16,500"", ""Brokerage"": ""8,250Access Zero Brokerage Properties"", ""Built up area"": ""1100 sq.ft"", ""Furnishing"": ""Fully Furnished"", ""Bathrooms"": ""1"", ""Balcony"": ""1"", ""Available from"": ""Available now"", ""Floor number"": ""1 of 2 floors"", ""Lease type"": ""Family / Bachelor / Company"", ""Age of property"": ""6 years"", ""Main entrance facing"": ""East"", ""Gas Pipeline"": ""Yes"", ""Gate Community"": ""No"", ""Carpet area"": ""1000 sq.ft"", ""Price Negotiable"": ""No""}",
https://housing.com/rent/17113837-1600-sqft-2-bhk-independent-floor-on-rent-in-indira-nagar-lucknow,https://housing-images.n7net.in/01c16c28/03672D737CB74C5C85077FDD800888AD/v0/large/2_bhk_independent_builder_floor-for-rent-indira_nagar_5-Lucknow-living_room.jpg,[],"Indra nagar, Sector 13, Indira Nagar, Lucknow","{""Security"": ""17,000"", ""Brokerage"": ""8,500Access Zero Brokerage Properties"", ""Built up area"": ""1600 sq.ft"", ""Furnishing"": ""Semi Furnished"", ""Bathrooms"": ""2"", ""Balcony"": ""1"", ""Available from"": ""Available now"", ""Floor number"": ""1 of 2 floors"", ""Lease type"": ""Family"", ""Age of property"": ""2 years"", ""Main entrance facing"": ""West"", ""Gas Pipeline"": ""No"", ""Gate Community"": ""No"", ""Carpet area"": ""1500 sq.ft"", ""Price Negotiable"": ""No""}",
https://housing.com/rent/17176776-1450-sqft-3-bhk-apartment-on-rent-in-arjunganj-lucknow,https://housing-images.n7net.in/01c16c28/14c7ed3e28232874d98e5802b3c2cf3d/v0/large/3_bhk_apartment-for-rent-arjunganj-Lucknow-bedroom.jpg,[],"Omaxe Residency, Arjunganj, Lucknow","{""Project Name"": ""Omaxe Residency"", ""Security"": ""24,000"", ""Brokerage"": ""12,000Access Zero Brokerage Properties"", ""Maintenance"": ""3,500"", ""Built up area"": ""1450 sq.ft"", ""Furnishing"": ""Fully Furnished"", ""Bathrooms"": ""3"", ""Balcony"": ""3"", ""Available from"": ""Available now"", ""Floor number"": ""7 of 12 floors"", ""Lease type"": ""Family"", ""Age of property"": ""9 years"", ""Main entrance facing"": ""East"", ""Gas Pipeline"": ""Yes"", ""Gate Community"": ""Yes"", ""Carpet area"": ""1400 sq.ft"", ""Price Negotiable"": ""No""}",
