title,link,subtitle,price,area,property_details,city,location,first_image_url
2 BHK Flat for rent in Sector 137,https://housing.com/rent/17045412-1045-sqft-2-bhk-apartment-on-rent-in-sector-137-noida,Paramount Floraville,25000,1045 sq.ft,Semi furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/19a083909de2f24c8cdd95ce582da283/v0/large/2_bhk_apartment-for-rent-sector_137-Kulesara-living_room.jpg
2 BHK Flat for rent in Sector 137,https://housing.com/rent/16719337-825-sqft-2-bhk-apartment-on-rent-in-sector-137-noida,Paras Tierea,32500,825 sq.ft,Fully furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/5aa1ba5200262c9a08fbfe6c20f3998e/v0/large/2_bhk_apartment-for-rent-sector_137-Noida-hall.jpg
4 BHK Flat for rent in Sector 137,https://housing.com/rent/16924340-2494-sqft-4-bhk-apartment-on-rent-in-sector-137-noida,Logix Blossom County,55000,2494 sq.ft,Semi furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/df97755e117a869b29fe7fede9e968db/v0/large/4_bhk_apartment-for-rent-sector_137-Noida-living_room.jpg
3 BHK Flat for rent in Sector 121,https://housing.com/rent/17060476-2080-sqft-3-bhk-apartment-on-rent-in-sector-121-noida,County,80000,2080 sq.ft,Semi furnished,Noida,Sector 121,https://housing-images.n7net.in/01c16c28/185DC6F31ED042DA9158949A3BB03646/v0/large/3_bhk_apartment-for-rent-sector_121-Noida-living_room.jpg
2 BHK Flat for rent in Sector 137,https://housing.com/rent/16951007-1040-sqft-2-bhk-apartment-on-rent-in-sector-137-noida,Logix Blossom County,26000,1040 sq.ft,Semi furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/0064f87c6d5d4414966b045f0d6c389a/v0/large/2_bhk_apartment-for-rent-sector_137-Noida-living_room.jpg
3 BHK Flat for rent in Sector 150,https://housing.com/rent/16580650-2190-sqft-3-bhk-apartment-on-rent-in-sector-150-noida,ACE Group Parkway,50000,2190 sq.ft,Semi furnished,Noida,Sector 150,https://housing-images.n7net.in/01c16c28/171e779b814da810141bce4f34c1da4e/v0/large/3_bhk_apartment-for-rent-sector_150-Noida-living_room.jpg
3 BHK Flat for rent in Sector 137,https://housing.com/rent/16977728-1565-sqft-3-bhk-apartment-on-rent-in-sector-137-noida,Paras Tierea,45000,1565 sq.ft,Fully furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/4a04d02cd3c44871a9c09fd80d7f11ea/v0/large/3_bhk_apartment-for-rent-sector_137-Noida-living_room.jpg
2 BHK Flat for rent in Sector 143B,https://housing.com/rent/17040918-1150-sqft-2-bhk-apartment-on-rent-in-sector-143b-noida,Sikka Karnam Greens,31500,1150 sq.ft,Fully furnished,Noida,Sector 143B,https://housing-images.n7net.in/01c16c28/016c32ad9c9d45c0ad63502315570cff/v0/large/2_bhk_apartment-for-rent-sector_143b-Noida-living_room.jpg
5 BHK Independent House for rent in Sector 70,https://housing.com/rent/17197622-2000-sqft-5-bhk-independent-house-on-rent-in-sector-70-noida,Not Found,60000,2000 sq.ft,Un-furnished,Noida,Sector 70,https://housing-images.n7net.in/01c16c28/26b93dcf84a3de3c4aa966949c13b459/v0/large/5_bhk_independent_house-for-rent-sector_70-Noida-hall.jpg
1 RK Independent House for rent in Sector 167,https://housing.com/rent/16283397-180-sqft-1-rk-independent-house-on-rent-in-sector-167-noida,Not Found,7000,180 sq.ft,Semi furnished,Noida,Sector 167,https://housing-images.n7net.in/01c16c28/d44869910a58f50c07b2d3ed6d78dfd9/v0/large/1_rk_independent_house-for-rent-sector_167-Noida-others.jpg
