title,link,subtitle,price,area,property_details,city,location,first_image_url,latitude,longitude,price_per_sqft
3 BHK Flat for rent in Vrindavan Yojana,,Azeagaia Azea Botanica,22000,1425.0,Semi furnished,Lucknow,Vrindavan Yojana,https://housing-images.n7net.in/01c16c28/81df4b31389249718192dabba56159a7/v0/large/3_bhk_apartment-for-rent-vrindavan_yojna-Lucknow-living_room.jpg,,,15.43859649122807
3 BHK Flat for rent in Baraulikhalilabad,,Euphoria,17000,1573.0,Semi furnished,Lucknow,Baraulikhalilabad,https://housing-images.n7net.in/01c16c28/435255a5db45a10637a54e7fca0d3e3d/v0/large/3_bhk_apartment-for-rent-baraulikhalilabad-Lucknow-hall.jpg,,,10.80737444373808
3 BHK Flat for rent in Gomti Nagar Extension,,Rishita Manhattan,21000,1375.0,Semi furnished,Lucknow,Gomti Nagar Extension,https://housing-images.n7net.in/01c16c28/120669566b4f54d1302dfcf7564ab90f/v0/large/3_bhk_apartment-for-rent-gomti_nagar_extension_1-Lucknow-hall.jpg,,,15.272727272727273
2 BHK Independent House for rent in Haibat Mau Mawaiya,,Yamunapuram Villas,10000,1200.0,Semi furnished,Lucknow,Haibat Mau Mawaiya,https://housing-images.n7net.in/4f2250e8/3937471e421c06efdcb961d42e6eceb9/v0/large.jpeg,,,8.333333333333334
1 BHK Independent House for rent in Haibat Mau Mawaiya,,Not Found,9000,800.0,Semi furnished,Lucknow,Haibat Mau Mawaiya,https://housing-images.n7net.in/01c16c28/4096070890535207c317c984da95bde1/v0/large/1_bhk_independent_house-for-rent-haibat_mau_mawaiya-Lucknow-hall.jpg,,,11.25
3 BHK Flat for rent in Sector A,,Ansal Celebrity Garden,35000,1800.0,Fully furnished,Lucknow,Sector A,https://housing-images.n7net.in/01c16c28/282951d760e100ab7a4352b93762474a/v0/large/3_bhk_apartment-for-rent-sector_a_uttar_pradesh-Lucknow-hall.jpg,26.9112986,80.9440956,19.444444444444443
3 BHK Flat for rent in Krishna Nagar,,Not Found,18000,1600.0,Semi furnished,Lucknow,Krishna Nagar,https://housing-images.n7net.in/01c16c28/0f98f3f2abbdcc1320f68341347a94a6/v0/large/3_bhk_apartment-for-rent-krishna_nagar_alambagh-Lucknow-hall.jpg,26.794391,80.891762,11.25
2 BHK Flat for rent in Kalyanpur (East),,Not Found,12000,1100.0,Semi furnished,Lucknow,Kalyanpur (East),https://housing-images.n7net.in/01c16c28/3bac7ed8d1816959ff8539dce85e2e65/v0/large/2_bhk_apartment-for-rent-kalyanpur_east-Lucknow-hall.jpg,,,10.909090909090908
1 RK Independent House for rent in Transport Nagar,,Not Found,5000,1400.0,Semi furnished,Lucknow,Transport Nagar,https://housing-images.n7net.in/01c16c28/4fca364938b2ab04524edcfb76629858/v0/large/1_rk_independent_house-for-rent-transport_nagar_lucknow-Lucknow-hall.jpg,26.777877,80.8826512,3.5714285714285716
2 BHK Independent House for rent in Vrindavan Yojana,,Not Found,15000,1450.0,Semi furnished,Lucknow,Vrindavan Yojana,https://housing-images.n7net.in/01c16c28/2cda180f739e5aacecd79724ec503e54/v0/large/2_bhk_independent_house-for-rent-vrindavan_yojna-Lucknow-hall.jpg,,,10.344827586206897
