title,link,subtitle,price,area,property_details
3 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/17092763-1425-sqft-3-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,Azeagaia Azea Botanica,"₹22,000",1425 sq.ft,Semi furnished
3 BHK Flat for rent in Baraulikhalilabad,https://housing.com/rent/16675056-1573-sqft-3-bhk-apartment-on-rent-in-baraulikhalilabad-lucknow,Euphoria,"₹17,000",1573 sq.ft,Semi furnished
3 BHK Flat for rent in Gomti Nagar Extension,https://housing.com/rent/17139393-1375-sqft-3-bhk-apartment-on-rent-in-gomti-nagar-extension-lucknow,Rishita Manhattan,"₹21,000",1375 sq.ft,Semi furnished
2 BHK Independent House for rent in Haibat Mau Mawaiya,https://housing.com/rent/17110305-1200-sqft-2-bhk-independent-house-on-rent-in-haibat-mau-mawaiya-lucknow,Yamunapuram Villas,"₹10,000",1200 sq.ft,Semi furnished
1 BHK Independent House for rent in Haibat Mau Mawaiya,https://housing.com/rent/16730990-800-sqft-1-bhk-independent-house-on-rent-in-haibat-mau-mawaiya-lucknow,Not Found,"₹9,000",800 sq.ft,Semi furnished
3 BHK Flat for rent in Sector A,https://housing.com/rent/16494157-1800-sqft-3-bhk-apartment-on-rent-in-sector-a-lucknow,Ansal Celebrity Garden,"₹35,000",1800 sq.ft,Fully furnished
3 BHK Flat for rent in Krishna Nagar,https://housing.com/rent/17158891-1600-sqft-3-bhk-apartment-on-rent-in-krishna-nagar-lucknow,Not Found,"₹18,000",1600 sq.ft,Semi furnished
2 BHK Flat for rent in Kalyanpur (East),https://housing.com/rent/16779272-1100-sqft-2-bhk-apartment-on-rent-in-kalyanpur-(east)-lucknow,Not Found,"₹12,000",1100 sq.ft,Semi furnished
1 RK Independent House for rent in Transport Nagar,https://housing.com/rent/17186719-1400-sqft-1-rk-independent-house-on-rent-in-transport-nagar-lucknow,Not Found,"₹5,000",1400 sq.ft,Semi furnished
2 BHK Independent House for rent in Vrindavan Yojana,https://housing.com/rent/17185487-1450-sqft-2-bhk-independent-house-on-rent-in-vrindavan-yojna-lucknow,Not Found,"₹15,000",1450 sq.ft,Semi furnished
2 BHK Independent Builder Floor for rent in Gomti Nagar,https://housing.com/rent/17190422-1250-sqft-2-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,LDA Parijat Apartment,"₹15,500",1250 sq.ft,Semi furnished
3 BHK Flat for rent in Ashiyana,https://housing.com/rent/16161225-1750-sqft-3-bhk-apartment-on-rent-in-ashiyana-lucknow,Ansal Orchid Greens Apartment,"₹20,000",1750 sq.ft,Semi furnished
4 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/16559239-2060-sqft-4-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,Azeagaia Azea Botanica,"₹42,000",2060 sq.ft,Semi furnished
1 BHK Independent Builder Floor for rent in Gomti Nagar,https://housing.com/rent/17124939-1100-sqft-1-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹16,500",1100 sq.ft,Fully furnished
2 BHK Independent Builder Floor for rent in Indira Nagar,https://housing.com/rent/17113837-1600-sqft-2-bhk-independent-floor-on-rent-in-indira-nagar-lucknow,Not Found,"₹17,000",1600 sq.ft,Semi furnished
3 BHK Flat for rent in Arjunganj,https://housing.com/rent/17176776-1450-sqft-3-bhk-apartment-on-rent-in-arjunganj-lucknow,Omaxe Residency,"₹24,000",1450 sq.ft,Fully furnished
4 BHK Villa for rent in Gomti Nagar,https://housing.com/rent/17136627-5000-sqft-4-bhk-villa-on-rent-in-gomti-nagar-lucknow,Ansal Sushant Golf City,"₹1,35,000",5000 sq.ft,Fully furnished
4 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/16040400-2100-sqft-4-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,Eldeco Saubhagyam Phase 2,"₹24,000",2100 sq.ft,Semi furnished
3 BHK Independent House for rent in Vrindavan Yojana,https://housing.com/rent/16586161-2200-sqft-3-bhk-independent-house-on-rent-in-vrindavan-yojna-lucknow,Not Found,"₹26,000",2200 sq.ft,Semi furnished
3 BHK Independent House for rent in Jankipuram,https://housing.com/rent/16939334-2000-sqft-3-bhk-independent-house-on-rent-in-jankipuram-lucknow,Oro City Extension,"₹22,000",2000 sq.ft,Semi furnished
2 BHK Independent Builder Floor for rent in Indira Nagar,https://housing.com/rent/17079804-850-sqft-2-bhk-independent-floor-on-rent-in-indira-nagar-lucknow,Manas City Extension,"₹13,500",850 sq.ft,Un-furnished
2 BHK Independent Builder Floor for rent in Gomti Nagar Extension,https://housing.com/rent/16161446-1230-sqft-2-bhk-independent-floor-on-rent-in-gomti-nagar-lucknow,Not Found,"₹16,000",1230 sq.ft,Semi furnished
3 BHK Flat for rent in Gomti Nagar Extension,https://housing.com/rent/16895414-1936-sqft-3-bhk-apartment-on-rent-in-gomti-nagar-extension-lucknow,Eldeco Elegance,"₹32,000",1936 sq.ft,Semi furnished
2 BHK Independent House for rent in Gomti Nagar Extension,https://housing.com/rent/17074805-2000-sqft-2-bhk-independent-house-on-rent-in-gomti-nagar-lucknow,Not Found,"₹30,000",2000 sq.ft,Fully furnished
2 BHK Flat for rent in Gomti Nagar Extension,https://housing.com/rent/17081833-1880-sqft-2-bhk-apartment-on-rent-in-gomti-nagar-extension-lucknow,Rishita Manhattan,"₹30,000",1880 sq.ft,Fully furnished
3 BHK Flat for rent in Arjunganj,https://housing.com/rent/16895344-1650-sqft-3-bhk-apartment-on-rent-in-arjunganj-lucknow,Omaxe Residency,"₹45,000",1650 sq.ft,Fully furnished
3 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/16921693-1440-sqft-3-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,Mangalam Neelkanth Dreamz,"₹18,000",1440 sq.ft,Semi furnished
3 BHK Flat for rent in Gomti Nagar Extension,https://housing.com/rent/16721451-2600-sqft-3-bhk-apartment-on-rent-in-gomti-nagar-extension-lucknow,Not Found,"₹35,000",2600 sq.ft,Semi furnished
3 BHK Flat for rent in Sushant Golf City,https://housing.com/rent/17140191-1500-sqft-3-bhk-apartment-on-rent-in-golf-city-lucknow,Okas Residency,"₹20,000",1500 sq.ft,Semi furnished
3 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/16974296-1700-sqft-3-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,AWHO Vay Sector 8B G,"₹20,000",1700 sq.ft,Un-furnished
